old,new
백설기,백설기(검정콩)
송편,송편(검정콩)
수수부꾸미,수수부꾸미
수수팥떡,수수팥떡
쑥떡,쑥떡
약식,약식
인절미,빙수(인절미_우유얼음)
절편,절편
증편,증편
찹쌀떡,찹쌀떡(팥)
매작과,매작과
다식,다식(송화)
약과,약과
유과,유과
산자,산자
깨강정,
